"Time (s)","w","x","y","z"
2.165965300E-2,6.564254010E-2,-6.107999943E-3,-7.235100120E-2,-9.951980114E-1
3.171365300E-2,6.551737708E-2,-4.842999857E-3,-7.251899689E-2,-9.952009916E-1
4.176365300E-2,6.538152165E-2,-3.579000011E-3,-7.268700004E-2,-9.952030182E-1
5.181465300E-2,6.523682760E-2,-2.314999932E-3,-7.285500318E-2,-9.952039719E-1
6.186565300E-2,6.511606082E-2,-2.075999975E-3,-7.288800180E-2,-9.952099919E-1
7.191740300E-2,6.490155525E-2,-2.234000014E-3,-7.267799973E-2,-9.952390194E-1
8.196940300E-2,6.461310418E-2,-2.795000095E-3,-7.244999707E-2,-9.952729940E-1
9.202106900E-2,6.432466562E-2,-3.700000001E-3,-7.224000245E-2,-9.953039885E-1
1.020720690E-1,6.410037506E-2,-4.712999798E-3,-7.202199847E-2,-9.953299761E-1
1.121230690E-1,6.391228940E-2,-5.632999819E-3,-7.181800157E-2,-9.953520298E-1
1.221740690E-1,6.380934390E-2,-6.165999919E-3,-7.151900232E-2,-9.953770041E-1
1.322254690E-1,6.375550965E-2,-6.196000148E-3,-7.113199681E-2,-9.954079986E-1
1.422766500E-1,6.378371442E-2,-5.605000071E-3,-7.077699900E-2,-9.954349995E-1
1.523284000E-1,6.379176220E-2,-4.873999860E-3,-7.042899728E-2,-9.954630136E-1
1.623804000E-1,6.383851479E-2,-4.087999929E-3,-7.005400211E-2,-9.954900146E-1
1.724326850E-1,6.394148134E-2,-3.173999954E-3,-6.969399750E-2,-9.955120087E-1
1.824850850E-1,6.407674457E-2,-2.174000023E-3,-6.942199916E-2,-9.955250025E-1
1.925375220E-1,6.417863504E-2,-1.297999988E-3,-6.923499703E-2,-9.955329895E-1
2.025901100E-1,6.423396784E-2,-7.220000261E-4,-6.911999732E-2,-9.955379963E-1
2.126428320E-1,6.418934045E-2,-4.860000045E-4,-6.910599768E-2,-9.955419898E-1
2.227032000E-1,6.402991055E-2,-6.459999713E-4,-6.919500232E-2,-9.955459833E-1
2.327632500E-1,6.384146830E-2,-1.118000015E-3,-6.929100305E-2,-9.955509901E-1
2.428231070E-1,6.374681608E-2,-1.699000015E-3,-6.923700124E-2,-9.955599904E-1
2.528826520E-1,6.373177771E-2,-2.208000049E-3,-6.906399876E-2,-9.955719709E-1
2.629417380E-1,6.379148283E-2,-2.572000027E-3,-6.896699965E-2,-9.955739975E-1
