"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.165965300E-2,1.036312389E1,-4.442896843E-1,-1.050051785E1
3.171365300E-2,9.923315048E0,-1.411683321E0,-9.846695900E0
4.176365300E-2,9.813885689E0,-1.205909014E0,-9.463354111E0
5.181465300E-2,1.015696430E1,-9.354832172E-1,-9.288243294E0
6.186565300E-2,1.017853165E1,-1.070522189E0,-9.139729500E0
7.191740300E-2,9.934203148E0,-9.800809026E-1,-9.078066826E0
8.196940300E-2,9.849738121E0,-9.893457294E-1,-8.791356087E0
9.202106900E-2,9.777660370E0,-1.048807383E0,-8.535656929E0
1.020720690E-1,9.708203316E0,-1.028966546E0,-8.423579216E0
1.121230690E-1,9.559074402E0,-1.023878813E0,-8.474246025E0
1.221740690E-1,9.391186714E0,-9.575676322E-1,-8.728748322E0
1.322254690E-1,9.266654968E0,-8.973517418E-1,-9.014735222E0
1.422766500E-1,9.221134186E0,-9.223189354E-1,-9.078108788E0
1.523284000E-1,9.242998123E0,-9.452065825E-1,-8.825437546E0
1.623804000E-1,9.366493225E0,-8.527108431E-1,-8.800271988E0
1.724326850E-1,9.413369179E0,-8.300898671E-1,-8.980955124E0
1.824850850E-1,9.380378723E0,-8.643521070E-1,-9.158971786E0
1.925375220E-1,9.443082809E0,-9.049059153E-1,-9.032647133E0
2.025901100E-1,9.657899857E0,-8.770549297E-1,-8.956368446E0
2.126428320E-1,9.648214340E0,-9.489108324E-1,-9.004295349E0
2.227032000E-1,9.638022423E0,-1.130019903E0,-8.972926140E0
2.327632500E-1,9.808509827E0,-1.097793937E0,-8.790690422E0
2.428231070E-1,9.929034233E0,-9.308274388E-1,-8.551383972E0
2.528826520E-1,1.009650993E1,-9.196476340E-1,-8.587727547E0
2.629417380E-1,1.011338329E1,-8.478664160E-1,-8.803434372E0
2.730005710E-1,9.943654060E0,-8.634586334E-1,-8.875025749E0
2.830592510E-1,9.832271576E0,-1.036102295E0,-8.814713478E0
2.931177890E-1,9.790113449E0,-1.004627228E0,-8.670642853E0
3.031760480E-1,9.738468170E0,-7.897556424E-1,-8.629674911E0
3.132341550E-1,9.577993393E0,-8.377387524E-1,-8.617852211E0
3.232920170E-1,9.490667343E0,-8.599152565E-1,-8.560812950E0
3.333498170E-1,9.525121689E0,-8.301182985E-1,-8.616190910E0
3.434076830E-1,9.580012321E0,-8.905285597E-1,-8.709669113E0
3.534655830E-1,9.729249001E0,-9.530860186E-1,-8.807654381E0
3.635235160E-1,9.727956772E0,-9.891451597E-1,-8.826708794E0
3.735813160E-1,9.597690582E0,-9.132881761E-1,-9.025734901E0
