"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.953233300E-2,-9.876469612E0,1.424523234E0,-9.047442436E0
2.957833300E-2,-1.020094395E1,1.771510839E0,-8.383072853E0
3.962333300E-2,-1.012797832E1,1.733083487E0,-8.199818611E0
4.966983300E-2,-9.976027489E0,1.558288574E0,-8.454587936E0
5.971749900E-2,-9.778367996E0,1.357351303E0,-8.816340446E0
6.976599900E-2,-9.766331673E0,1.283680320E0,-9.006349564E0
7.981539900E-2,-9.726825714E0,1.298492908E0,-9.122711182E0
8.986473200E-2,-9.760639191E0,1.313562632E0,-9.193774223E0
1.008113330E-1,-9.838466644E0,1.487822056E0,-8.996673584E0
1.108653330E-1,-9.829298019E0,1.687310457E0,-8.641095161E0
1.209123330E-1,-9.935802460E0,1.794429779E0,-8.433337212E0
1.309618330E-1,-1.002711773E1,1.905309200E0,-8.236769676E0
1.410108330E-1,-1.011616135E1,2.070681572E0,-8.200458527E0
1.510595830E-1,-1.019362450E1,2.071030378E0,-8.430078506E0
1.611083830E-1,-9.790229797E0,1.774616480E0,-8.595144272E0
1.711570490E-1,-9.415916443E0,1.417165995E0,-8.801237106E0
1.812051910E-1,-9.285712242E0,1.187898636E0,-8.993141174E0
1.912538160E-1,-9.471832275E0,1.339599609E0,-8.974505424E0
2.013025930E-1,-9.694983482E0,1.745137930E0,-8.671243668E0
2.113517930E-1,-9.738326073E0,2.096749544E0,-7.922440052E0
2.214008830E-1,-9.708429337E0,2.129533052E0,-7.443244934E0
2.314497160E-1,-9.758529663E0,2.174048901E0,-8.009163857E0
2.415003310E-1,-9.685223579E0,1.879591942E0,-8.521485329E0
2.515506880E-1,-9.498053551E0,1.436098218E0,-8.789035797E0
2.616504210E-1,-9.680031776E0,8.644286394E-1,-8.800502777E0
2.717466710E-1,-9.281896591E0,9.832572937E-1,-8.264522552E0
2.818399650E-1,-9.681845665E0,8.666865826E-1,-8.307291985E0
2.919305760E-1,-9.740715981E0,9.377127886E-1,-8.411689758E0
3.020190490E-1,-9.833741188E0,1.295172095E0,-8.300747871E0
3.121055490E-1,-9.842130661E0,1.472909451E0,-8.474545479E0
3.221902630E-1,-9.479104042E0,1.430872321E0,-8.393836975E0
3.322732170E-1,-9.523024559E0,1.383909822E0,-8.633211136E0
3.423895640E-1,-9.375113487E0,1.469708562E0,-9.020269394E0
3.525031470E-1,-9.253335953E0,1.353786588E0,-9.138726234E0
3.626142670E-1,-9.220059395E0,1.205646157E0,-9.120701790E0
3.727231510E-1,-9.502339363E0,1.156186342E0,-9.095683098E0
3.828300020E-1,-9.810632706E0,1.200168252E0,-9.049570084E0
3.929350020E-1,-9.738489151E0,1.379946351E0,-8.953840256E0
4.030382770E-1,-9.864014626E0,1.454263568E0,-8.702951431E0
4.131398770E-1,-9.709520340E0,1.554987431E0,-8.543004990E0
4.232414770E-1,-9.609883308E0,1.446073532E0,-8.854276657E0
4.333429770E-1,-9.443021774E0,1.319724441E0,-8.927860260E0
4.434444770E-1,-9.142097473E0,1.230128527E0,-9.099120140E0
4.535460430E-1,-9.025873184E0,1.084712982E0,-9.317657471E0
4.636475090E-1,-9.062627792E0,1.045534968E0,-9.391839027E0
4.737489750E-1,-9.126669884E0,1.076986313E0,-9.266662598E0
4.838504410E-1,-9.281711578E0,1.166750193E0,-9.062034607E0
4.939516070E-1,-9.427011490E0,1.358904719E0,-8.888395309E0
5.040729070E-1,-9.520434380E0,1.412104726E0,-8.805876732E0
5.141939730E-1,-9.531070709E0,1.578229666E0,-8.587397575E0
5.243150060E-1,-9.422395706E0,1.519534230E0,-8.689655304E0
5.344361060E-1,-9.294095039E0,1.431558251E0,-8.877528191E0
5.445565060E-1,-9.098696709E0,1.309276462E0,-9.091118813E0
5.546771060E-1,-8.757476807E0,1.069716573E0,-9.476585388E0
5.647730390E-1,-8.744227409E0,8.212951422E-1,-9.404969215E0
5.748691720E-1,-8.914334297E0,8.040368557E-1,-9.221652985E0
5.862453330E-1,-8.967412949E0,9.788602591E-1,-9.125034332E0
5.962953330E-1,-9.249128342E0,1.185309291E0,-8.715152740E0
6.063453330E-1,-9.335235596E0,1.381830335E0,-8.272408485E0
6.163938330E-1,-9.409776688E0,1.565117359E0,-8.124233246E0
6.264418330E-1,-9.427022934E0,1.518252611E0,-8.166998863E0
6.364905830E-1,-9.455399513E0,1.302650094E0,-8.417323112E0
6.465389830E-1,-9.217802048E0,1.084472775E0,-8.751225471E0
6.565873160E-1,-9.177317619E0,8.010888100E-1,-8.943999290E0
6.666347440E-1,-9.177150726E0,6.995977163E-1,-9.010576248E0
6.766818690E-1,-9.105909348E0,7.560718060E-1,-8.898425102E0
6.867289800E-1,-9.157589912E0,8.994736671E-1,-8.602581024E0
6.967763800E-1,-9.234717369E0,1.062978983E0,-8.350515366E0
7.068237430E-1,-9.385624886E0,1.204301953E0,-8.300298691E0
7.168709930E-1,-9.546477318E0,1.255809069E0,-8.147686005E0
