"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.031695500E-2,-1.061542988E0,2.192732811E0,-2.626791000E-1
3.036995500E-2,-9.766192436E-1,2.491889715E0,-6.753988266E-1
4.042495500E-2,-1.006816268E0,2.524280548E0,-9.669122696E-1
5.047945500E-2,-9.826687574E-1,2.276322365E0,-7.706117630E-1
6.053412100E-2,-1.001486063E0,1.973160863E0,-4.350910187E-1
7.058887100E-2,-1.196223736E0,1.603757620E0,-6.286497116E-1
8.064407100E-2,-1.404736161E0,1.194422483E0,-7.207574844E-1
9.069957100E-2,-1.600923300E0,9.349853992E-1,-1.647729874E-1
1.016639550E-1,-1.622191429E0,8.358004093E-1,6.067132950E-1
1.117249550E-1,-1.411127567E0,8.870921135E-1,1.150534630E0
1.217839550E-1,-1.041407704E0,1.014712572E0,1.617059708E0
1.318424550E-1,-7.600656748E-1,1.065686941E0,1.675260544E0
1.419011210E-1,-4.157693088E-1,9.992594719E-1,1.381451607E0
1.519601210E-1,-3.627419472E-1,9.918704033E-1,1.049085617E0
1.620193210E-1,-4.244530797E-1,1.058683157E0,9.060688019E-1
1.720784870E-1,-3.575030565E-1,1.227235556E0,5.803146362E-1
1.821372010E-1,-3.178949356E-1,1.554512024E0,4.131927490E-1
1.921958260E-1,-5.585112572E-1,1.971757412E0,6.848144531E-1
2.022543810E-1,-8.464874029E-1,2.389225245E0,3.942604065E-1
2.123126810E-1,-8.654189110E-1,2.559731007E0,-3.115844727E-2
2.223711350E-1,-6.556975842E-1,2.363412857E0,-4.126253128E-1
2.324294680E-1,-6.231607199E-1,1.990101695E0,-5.471735001E-1
2.424875440E-1,-7.959803343E-1,1.520247459E0,-5.102758408E-1
2.525456860E-1,-1.080189109E0,9.902026653E-1,-4.096994400E-1
2.626396860E-1,-1.456929445E0,4.486656189E-1,-2.627449036E-1
2.727311860E-1,-1.721798778E0,1.463766098E-1,-1.140470505E-1
2.828203620E-1,-1.925856113E0,4.656887054E-2,9.451866150E-2
2.929076950E-1,-1.953802705E0,1.331155300E-1,3.320312500E-1
3.029933260E-1,-1.761220217E0,3.440229893E-1,6.965560913E-1
3.130774760E-1,-1.346763372E0,7.735350132E-1,1.054056168E0
3.231602370E-1,-7.567807436E-1,1.166474581E0,1.132530212E0
3.332417370E-1,-4.650390148E-1,1.415601134E0,1.050914764E0
3.444809550E-1,-3.797015250E-1,1.461984038E0,8.287229538E-1
3.545369550E-1,-4.681572318E-1,1.421550632E0,5.343265533E-1
3.646109550E-1,-6.670042276E-1,1.396081090E0,2.130937576E-1
3.746764550E-1,-9.204378724E-1,1.379903078E0,-8.204460144E-3
3.847381210E-1,-1.122075558E0,1.374203444E0,-1.706438065E-1
3.947978710E-1,-1.236701012E0,1.355144501E0,-2.822875977E-1
4.048570710E-1,-1.253892303E0,1.308165312E0,-2.507581711E-1
4.149165710E-1,-1.220734715E0,1.206319213E0,-1.258592606E-1
4.249755710E-1,-1.091898084E0,1.092048407E0,2.030372620E-2
4.350339460E-1,-9.849159718E-1,1.006213665E0,2.133502960E-1
4.450922790E-1,-8.636680841E-1,9.421217442E-1,3.777017593E-1
4.551506790E-1,-7.871832848E-1,9.280362129E-1,4.326601028E-1
4.652091330E-1,-7.961640358E-1,9.672141075E-1,4.383974075E-1
4.752676330E-1,-8.481839895E-1,1.008893967E0,3.412666321E-1
4.853280170E-1,-8.690891862E-1,1.060937405E0,2.292547226E-1
4.953882310E-1,-8.784624338E-1,1.073396206E0,1.168346405E-1
5.054894310E-1,-8.746621013E-1,1.067219496E0,2.377891541E-2
5.155877430E-1,-8.752027154E-1,1.059526443E0,-5.855274200E-2
5.256836840E-1,-8.791498542E-1,1.027140617E0,-1.937580109E-1
5.357774060E-1,-8.509784937E-1,9.708423615E-1,-2.754716873E-1
5.458689840E-1,-8.211670518E-1,9.575479031E-1,-2.407245636E-1
5.559587340E-1,-7.645344138E-1,9.500477314E-1,-1.131172180E-1
5.660469720E-1,-7.085353136E-1,9.193596840E-1,5.937957764E-2
5.761338350E-1,-7.323321700E-1,8.956487179E-1,2.812480927E-1
5.862553560E-1,-8.014175892E-1,8.604984283E-1,3.843564987E-1
5.963742310E-1,-8.602970839E-1,8.889899254E-1,6.654453278E-2
6.064903910E-1,-8.367264271E-1,8.217191696E-1,-5.014228821E-2
6.166041980E-1,-8.584513068E-1,7.092528343E-1,1.844682693E-1
6.267158270E-1,-8.510176539E-1,6.964011192E-1,2.671747208E-1
6.368254690E-1,-8.054243326E-1,7.545776367E-1,-1.031780243E-2
6.469332620E-1,-7.979461551E-1,8.151981831E-1,-9.147548676E-2
6.570393620E-1,-7.848934531E-1,8.020644188E-1,1.387624741E-1
