"Time (s)","w","x","y","z"
7.683814100E-2,5.641955781E-1,1.936988384E-1,1.477509644E-2,8.024623394E-1
8.708178700E-2,5.547856276E-1,1.892373264E-1,7.299338467E-3,8.101536036E-1
9.687855800E-2,5.508350262E-1,1.854790002E-1,8.862582035E-3,8.136951327E-1
1.071115270E-1,5.629426976E-1,1.881046295E-1,1.358437445E-2,8.046910167E-1
1.169345470E-1,5.578138056E-1,1.844881177E-1,1.405472122E-2,8.090799451E-1
1.272309540E-1,5.378352699E-1,1.725763083E-1,1.410610881E-2,8.250767589E-1
1.370001200E-1,5.231390283E-1,1.581109762E-1,2.124153636E-2,8.371829391E-1
1.472653290E-1,5.162813846E-1,1.464004368E-1,2.395441197E-2,8.434729576E-1
1.570980890E-1,5.099693845E-1,1.316333860E-1,4.007432982E-2,8.491159678E-1
1.673927250E-1,5.082971437E-1,1.116377413E-1,5.898894742E-2,8.518751860E-1
1.772269430E-1,4.458451412E-1,8.304409683E-2,5.281881243E-2,8.896830678E-1
1.874660060E-1,4.631723728E-1,1.102564037E-1,2.341861650E-2,8.790713549E-1
1.973305890E-1,4.805724650E-1,1.315973699E-1,5.792314187E-3,8.670055866E-1
2.075491310E-1,4.849473872E-1,1.332936883E-1,1.873796107E-3,8.643236160E-1
2.173856930E-1,4.758142877E-1,1.256463528E-1,4.732107744E-3,8.705121279E-1
2.275989220E-1,4.543951636E-1,1.084536538E-1,9.692792781E-3,8.841204047E-1
2.374882970E-1,4.537129666E-1,1.050479189E-1,1.010058913E-2,8.848770857E-1
2.477062140E-1,4.537628708E-1,1.001977399E-1,1.132270694E-2,8.853990436E-1
2.576003290E-1,4.544508337E-1,9.483151883E-2,1.219499670E-2,8.856256008E-1
2.677910580E-1,4.553226700E-1,8.878742903E-2,1.283563673E-2,8.857952952E-1
2.777394430E-1,4.562270671E-1,8.153750002E-2,1.430815179E-2,8.860043883E-1
2.878992350E-1,4.570799805E-1,7.465410233E-2,1.559992693E-2,8.861497045E-1
2.978163700E-1,4.579181918E-1,6.922018528E-2,1.631317474E-2,8.861452341E-1
3.080243910E-1,4.586486230E-1,6.532080472E-2,1.647620834E-2,8.860604763E-1
3.180655370E-1,4.592085581E-1,6.254397333E-2,1.618107595E-2,8.859762549E-1
3.281084020E-1,4.596129473E-1,6.061876193E-2,1.526065078E-2,8.859167099E-1
3.381511100E-1,4.598923210E-1,5.930563807E-2,1.350067928E-2,8.858891726E-1
3.481517350E-1,4.601399595E-1,5.830877647E-2,1.086942013E-2,8.858629465E-1
3.581097560E-1,4.604864439E-1,5.727956817E-2,7.604782004E-3,8.857840896E-1
3.683893910E-1,4.609999961E-1,5.584798381E-2,4.000617657E-3,8.856319785E-1
3.781987140E-1,4.616838409E-1,5.394818261E-2,3.769668692E-4,8.854024410E-1
3.884595470E-1,4.624139425E-1,5.184919760E-2,-3.190444550E-3,8.851411343E-1
3.984062140E-1,4.631536055E-1,4.957742989E-2,-6.515529938E-3,8.848662972E-1
4.085585580E-1,4.638499344E-1,4.710057005E-2,-9.160596877E-3,8.846133947E-1
4.183298080E-1,4.643090303E-1,4.432822764E-2,-1.080699358E-2,8.844972253E-1
4.286651200E-1,4.645580640E-1,4.128916934E-2,-1.145525090E-2,8.845053911E-1
4.384827770E-1,4.647475810E-1,3.822568431E-2,-1.150531042E-2,8.845428824E-1
4.487252250E-1,4.649528089E-1,3.519997001E-2,-1.142919343E-2,8.845615983E-1
4.584751720E-1,4.649943135E-1,3.230849281E-2,-1.165776234E-2,8.846471310E-1
4.686477770E-1,4.646126656E-1,2.960996144E-2,-1.227395236E-2,8.849337101E-1
