"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.282163100E-2,-6.580209732E-2,1.435127258E-1,4.614276886E-1
7.792163100E-2,-8.662962914E-2,1.581168175E-2,3.397712708E-1
8.302163100E-2,-1.291670799E-1,-2.371287346E-2,1.728286743E-1
8.812163100E-2,-1.882319450E-1,-2.689981461E-2,2.972602844E-3
9.322163100E-2,-2.412402630E-1,-1.178503036E-2,-2.151403427E-1
9.832163100E-2,-3.083298206E-1,-3.096628189E-2,-4.716138840E-1
1.034216310E-1,-3.590078354E-1,-1.152873039E-1,-7.196636200E-1
1.085216310E-1,-4.078726768E-1,-2.230072021E-1,-9.131956100E-1
1.136216310E-1,-4.816391468E-1,-3.610180616E-1,-1.093168259E0
1.187216310E-1,-5.441610813E-1,-4.671353102E-1,-1.309997559E0
1.238216310E-1,-6.341350079E-1,-5.080935955E-1,-1.415038109E0
1.289216310E-1,-6.551427841E-1,-5.153398514E-1,-1.206262589E0
1.340216310E-1,-5.882520676E-1,-4.895467758E-1,-9.486503601E-1
1.391216310E-1,-5.611147881E-1,-4.164519310E-1,-6.160001755E-1
1.442216310E-1,-6.139453650E-1,-3.176494837E-1,-3.996467590E-1
1.493216310E-1,-7.541787624E-1,-2.226288319E-1,-4.492044449E-1
1.544216310E-1,-9.198142290E-1,-1.933414936E-1,-5.970773697E-1
1.595216310E-1,-1.076262474E0,-2.523938417E-1,-8.727254868E-1
1.646216310E-1,-1.069907665E0,-4.661188126E-1,-1.275096416E0
1.697216310E-1,-1.301294088E0,-8.040945530E-1,-1.418481827E0
1.748216310E-1,-8.750849962E-1,-8.734486103E-1,-1.412887096E0
1.799216310E-1,-3.683823347E-1,-7.986332178E-1,-1.310105801E0
1.850216310E-1,-8.081567287E-2,-7.530841827E-1,-1.044102669E0
1.901144950E-1,9.115827084E-2,-6.806581020E-1,-7.611389160E-1
1.951728810E-1,2.212007046E-1,-6.220017672E-1,-5.534496307E-1
2.001919950E-1,2.221266031E-1,-6.468465328E-1,-4.632301331E-1
2.052109540E-1,1.558204889E-1,-6.527522802E-1,-4.374504089E-1
2.102299120E-1,1.026222706E-1,-6.588602066E-1,-4.815492630E-1
2.152488700E-1,-3.976321220E-2,-7.163612843E-1,-6.113452911E-1
2.202678290E-1,-2.140541077E-1,-7.415364981E-1,-8.810100555E-1
2.252867870E-1,-3.953473568E-1,-7.294062376E-1,-1.146029949E0
2.303057450E-1,-6.386996508E-1,-7.337225676E-1,-1.251116753E0
2.353247040E-1,-8.508652449E-1,-6.576295495E-1,-1.165205956E0
2.403436620E-1,-9.891474247E-1,-6.736779213E-1,-1.386129856E0
2.453626200E-1,-1.178489208E0,-7.346801758E-1,-1.582391262E0
2.503815790E-1,-1.378176451E0,-7.328954935E-1,-1.577434063E0
2.554005370E-1,-1.548360825E0,-6.866984367E-1,-1.422070026E0
2.604194950E-1,-1.631381750E0,-6.881673336E-1,-1.114418030E0
2.654384540E-1,-1.303164244E0,-9.461023211E-1,-4.120788574E-1
2.704574120E-1,-1.212053657E0,-1.112271667E0,-1.168909073E-1
2.754763700E-1,-1.150858641E0,-1.210649848E0,2.845411301E-1
2.804953290E-1,-1.023856282E0,-1.245969534E0,7.228260040E-1
2.855142870E-1,-9.688369036E-1,-1.254743099E0,1.157978058E0
2.905332450E-1,-1.051694751E0,-1.203443766E0,1.489348412E0
2.955522040E-1,-1.208964348E0,-1.128477335E0,1.698928833E0
3.005711620E-1,-1.344267011E0,-1.063074112E0,1.749960899E0
3.055901200E-1,-1.386684895E0,-1.042246103E0,1.727326393E0
3.106090790E-1,-1.347678185E0,-1.109729767E0,1.703845978E0
3.156280370E-1,-1.320976734E0,-1.162312984E0,1.615741730E0
3.206469950E-1,-1.295274496E0,-1.167873621E0,1.486211777E0
3.256659540E-1,-1.257261992E0,-1.111263752E0,1.327495575E0
3.306849120E-1,-1.233926058E0,-1.015203238E0,1.086824417E0
3.357038700E-1,-1.183618426E0,-8.452129364E-1,8.654117584E-1
3.407228290E-1,-1.138898611E0,-6.185641289E-1,6.321401596E-1
3.457417870E-1,-1.167451501E0,-4.230285287E-1,3.835039139E-1
3.507607450E-1,-1.218965411E0,-2.097826004E-1,3.413534164E-1
3.557797040E-1,-1.335042238E0,-7.527828217E-2,2.101182938E-1
3.607986620E-1,-1.438562632E0,-1.456552744E-2,1.585464478E-1
3.658176720E-1,-1.496753693E0,-1.288151741E-2,1.465711594E-1
