"Time (s)","w","x","y","z"
7.676287000E-2,5.609485289E-1,-9.486822039E-2,5.035632476E-2,-8.208538294E-1
8.670969300E-2,5.647391453E-1,-9.427727014E-2,4.795079678E-2,-8.184633255E-1
9.701000600E-2,5.627567855E-1,-9.429263324E-2,4.939078912E-2,-8.197403550E-1
1.068382350E-1,5.622248709E-1,-9.412674606E-2,5.013523251E-2,-8.200791478E-1
1.168764640E-1,5.593928789E-1,-9.399981052E-2,5.075104907E-2,-8.219902515E-1
1.269262040E-1,5.605390286E-1,-9.325806051E-2,5.093398318E-2,-8.212823272E-1
1.369523490E-1,5.674440673E-1,-9.358658642E-2,4.935544357E-2,-8.165860772E-1
1.470065680E-1,5.646698284E-1,-9.422286600E-2,5.085433275E-2,-8.183421493E-1
1.572283910E-1,5.602218135E-1,-9.353046119E-2,5.039884895E-2,-8.215007782E-1
1.670893810E-1,5.598813042E-1,-9.394258261E-2,5.004226416E-2,-8.217076659E-1
1.773500060E-1,5.482876634E-1,-9.424270689E-2,5.242067948E-2,-8.293075562E-1
1.872008910E-1,5.524274180E-1,-9.250468016E-2,5.157553405E-2,-8.268051744E-1
1.974248490E-1,5.593102716E-1,-9.217450768E-2,5.138957500E-2,-8.222134709E-1
2.072185470E-1,5.616723509E-1,-9.090145677E-2,5.134690180E-2,-8.207463622E-1
2.174764640E-1,5.684885233E-1,-9.235958010E-2,4.977573454E-2,-8.159735799E-1
2.273324010E-1,5.653654556E-1,-9.408557415E-2,4.978167638E-2,-8.179435134E-1
2.372818810E-1,5.653223944E-1,-9.389071167E-2,4.960602522E-2,-8.180063367E-1
2.454708390E-1,5.652915292E-1,-9.373923391E-2,4.943993688E-2,-8.180550933E-1
2.554585470E-1,5.652577037E-1,-9.374652058E-2,4.928002506E-2,-8.180872798E-1
2.658635470E-1,5.652397143E-1,-9.394942969E-2,4.910855740E-2,-8.180867434E-1
2.758677140E-1,5.652251214E-1,-9.419596195E-2,4.895195737E-2,-8.180778623E-1
2.859555260E-1,5.651996131E-1,-9.440068901E-2,4.877208918E-2,-8.180826306E-1
2.959558910E-1,5.651894608E-1,-9.446459264E-2,4.854854196E-2,-8.180955648E-1
3.060406830E-1,5.651914782E-1,-9.440574795E-2,4.830746353E-2,-8.181152344E-1
3.156784950E-1,5.651791424E-1,-9.427206963E-2,4.811384901E-2,-8.181505799E-1
3.261438080E-1,5.651592893E-1,-9.408491105E-2,4.797328636E-2,-8.181940913E-1
3.362929220E-1,5.651272478E-1,-9.395488352E-2,4.789593443E-2,-8.182356954E-1
3.462097450E-1,5.650762389E-1,-9.387784451E-2,4.786473140E-2,-8.182815909E-1
3.561828180E-1,5.650334263E-1,-9.382970631E-2,4.783987626E-2,-8.183181286E-1
3.663235470E-1,5.650029211E-1,-9.376039356E-2,4.782422632E-2,-8.183480501E-1
3.762842760E-1,5.649793102E-1,-9.370361269E-2,4.778095335E-2,-8.183733821E-1
3.863385470E-1,5.649529528E-1,-9.365274757E-2,4.772676900E-2,-8.184005618E-1
3.960114120E-1,5.649370494E-1,-9.360108525E-2,4.765449092E-2,-8.184216619E-1
4.061073490E-1,5.649261854E-1,-9.355054051E-2,4.757536575E-2,-8.184395432E-1
4.160384950E-1,5.649091530E-1,-9.348879009E-2,4.751648754E-2,-8.184617758E-1
4.261677140E-1,5.648960899E-1,-9.343852848E-2,4.745644704E-2,-8.184800148E-1
4.362605790E-1,5.648601046E-1,-9.338386357E-2,4.740432650E-2,-8.185141087E-1
4.462698490E-1,5.648249161E-1,-9.334962070E-2,4.734451696E-2,-8.185457587E-1
4.562176620E-1,5.647813447E-1,-9.331583977E-2,4.728368670E-2,-8.185831904E-1
4.663607350E-1,5.647381920E-1,-9.331862628E-2,4.721052200E-2,-8.186168671E-1
4.764785470E-1,5.646972257E-1,-9.332411736E-2,4.717807844E-2,-8.186463714E-1
4.864369330E-1,5.646610578E-1,-9.333984554E-2,4.714234173E-2,-8.186715841E-1
4.964464640E-1,5.646221877E-1,-9.336187690E-2,4.709120467E-2,-8.186988235E-1
5.065426620E-1,5.645887294E-1,-9.338109940E-2,4.703037068E-2,-8.187232018E-1
5.165836510E-1,5.645551444E-1,-9.337133169E-2,4.697766528E-2,-8.187505007E-1
5.267181830E-1,5.645151989E-1,-9.333588183E-2,4.694117978E-2,-8.187841773E-1
5.366434950E-1,5.644649927E-1,-9.330218285E-2,4.688410461E-2,-8.188259006E-1
5.467271410E-1,5.644142432E-1,-9.327197820E-2,4.684623331E-2,-8.188664913E-1
5.567324540E-1,5.643622495E-1,-9.332553297E-2,4.680854455E-2,-8.188983798E-1
5.667951100E-1,5.643245846E-1,-9.341187775E-2,4.675565660E-2,-8.189175129E-1
5.768194330E-1,5.642957291E-1,-9.346315265E-2,4.673105851E-2,-8.189329505E-1
5.868702660E-1,5.642653941E-1,-9.344393015E-2,4.669184610E-2,-8.189582825E-1
5.967634430E-1,5.642436680E-1,-9.339020401E-2,4.662483931E-2,-8.189831972E-1
6.067584950E-1,5.642365301E-1,-9.332531691E-2,4.654163122E-2,-8.190002441E-1
6.169728180E-1,5.642221653E-1,-9.323868155E-2,4.645194486E-2,-8.190250993E-1
6.270273490E-1,5.641974213E-1,-9.317649901E-2,4.636431485E-2,-8.190541863E-1
6.370677660E-1,5.641706555E-1,-9.314898401E-2,4.629141465E-2,-8.190798759E-1
6.471605260E-1,5.641341879E-1,-9.314503521E-2,4.621851072E-2,-8.191095591E-1
6.570931310E-1,5.641087733E-1,-9.315773845E-2,4.616292566E-2,-8.191287518E-1
6.671853180E-1,5.640824532E-1,-9.320211411E-2,4.608819634E-2,-8.191460371E-1
