"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.830130800E-2,2.024948597E-3,-1.591241360E-2,-4.596710205E-2
7.332068300E-2,2.795517445E-3,1.817297935E-2,-6.988239288E-2
7.834005800E-2,7.912993431E-3,2.268075943E-3,-5.356693268E-2
8.335943300E-2,-5.060791969E-3,8.891224861E-3,-5.869102478E-2
8.837880800E-2,5.286037922E-3,1.307010651E-2,-4.689884186E-2
9.339818300E-2,1.577496529E-3,1.723659039E-2,-3.820514679E-2
9.841755800E-2,-6.335198879E-3,-2.374172211E-3,-8.631706238E-3
1.034369330E-1,-2.586245537E-4,-1.293933392E-2,3.185176849E-2
1.084563080E-1,-8.159637451E-3,4.165410995E-3,6.128215790E-2
1.134756830E-1,-2.146148682E-2,-4.722476006E-3,8.488941193E-2
1.184950580E-1,-1.025229692E-2,6.023764610E-3,1.132993698E-1
1.235144330E-1,-1.324820518E-2,-5.552649498E-3,1.166353226E-1
1.285338080E-1,3.500342369E-3,3.801107407E-3,1.154136658E-1
1.335531830E-1,1.157701015E-2,-1.965439320E-2,1.500139236E-1
1.385725580E-1,1.944595575E-2,-1.940977573E-2,1.293783188E-1
1.435919330E-1,1.328295469E-2,-7.852554321E-3,1.315593719E-1
1.486113080E-1,-6.409525871E-3,-1.892447472E-2,1.257028580E-1
1.536306830E-1,4.622697830E-3,-4.320859909E-3,8.897972107E-2
1.586500580E-1,3.748118877E-3,-1.004159451E-2,7.206821442E-2
1.636694330E-1,6.421566010E-3,-9.863615036E-3,2.101135254E-2
1.686888080E-1,-4.910528660E-3,1.124751568E-2,-1.101589203E-2
1.737081830E-1,-1.710945368E-2,2.253913879E-2,-3.741931915E-2
1.787275580E-1,-1.854091883E-2,1.970374584E-2,-3.865337372E-2
1.837469330E-1,-2.929580212E-2,1.362979412E-2,-4.682731628E-2
1.887663080E-1,-5.972307920E-2,1.367342472E-2,-1.636791229E-2
1.937856830E-1,-5.459153652E-2,1.499235630E-2,2.377414703E-2
1.988050580E-1,-4.624295235E-2,1.978170872E-2,4.773426056E-2
2.038244330E-1,-3.084909916E-2,2.445852757E-2,3.959178925E-2
2.088438080E-1,-3.386586905E-2,2.541661263E-2,-1.393032074E-2
2.138631830E-1,2.111196518E-4,9.664773941E-3,-5.929946899E-2
2.188825580E-1,-1.766848564E-2,9.535551071E-4,-5.346870422E-2
2.239019330E-1,-5.633902550E-2,-8.049368858E-3,-4.086875916E-2
2.289213080E-1,-6.997060776E-2,-4.397034645E-3,-9.900093079E-3
2.339406830E-1,-5.457031727E-2,-1.741981506E-2,2.827644348E-3
2.389623490E-1,-3.424465656E-3,-6.613135338E-3,9.469985962E-3
2.439798490E-1,2.656257153E-2,-2.263450623E-2,9.028434753E-3
2.489973490E-1,2.383112907E-2,-2.975940704E-2,-1.121044159E-2
2.540149540E-1,4.518628120E-4,-2.210795879E-2,-2.733802795E-2
2.590327660E-1,-1.861256361E-2,-1.061058044E-2,-6.761264801E-2
2.640507870E-1,-2.042299509E-2,-1.068329811E-2,-8.702754974E-2
2.690690160E-1,-9.581446648E-3,-2.463412285E-2,-6.846046448E-2
2.740875580E-1,1.866769791E-2,-1.605415344E-2,-3.853130341E-2
2.791065160E-1,2.903139591E-2,-2.001762390E-3,-1.014709473E-3
2.841258910E-1,3.957921267E-2,-6.138801575E-3,5.805587769E-2
2.891455790E-1,3.982579708E-2,5.715966225E-3,1.347532272E-1
2.941654740E-1,2.638292313E-2,1.096737385E-2,1.958942413E-1
2.991855790E-1,3.364264965E-2,3.458797932E-2,2.300424576E-1
3.042058910E-1,5.921006203E-3,4.215717316E-2,2.011966705E-1
3.092264120E-1,1.089870930E-2,5.526268482E-2,1.645584106E-1
3.142470370E-1,1.848429441E-2,5.646431446E-2,8.027076721E-2
3.192676620E-1,6.264209747E-3,3.432941437E-2,2.682113647E-2
3.242882870E-1,6.282031536E-3,3.290235996E-2,-5.636978149E-2
3.293089120E-1,-2.055644989E-3,1.545369625E-2,-1.087179184E-1
3.343295370E-1,-9.230971336E-3,2.076506615E-3,-1.118974686E-1
3.393496410E-1,1.143813133E-4,-2.529740334E-3,-1.008386612E-1
3.443691200E-1,-4.853069782E-3,-1.030695438E-2,-6.750202179E-2
3.493884950E-1,1.026177406E-2,3.339648247E-3,-2.521419525E-2
3.544078700E-1,1.100760698E-2,5.070209503E-3,2.472782135E-2
3.594272450E-1,7.070422173E-3,1.972293854E-2,3.973007202E-2
3.644466200E-1,-3.058910370E-4,1.759648323E-2,5.805492401E-2
3.694659950E-1,-4.172682762E-3,3.906452656E-2,5.725288391E-2
3.744853700E-1,-1.989072561E-2,3.415906429E-2,4.465484619E-2
3.795047450E-1,-1.668024063E-2,4.103541374E-2,2.869129181E-2
3.845241200E-1,-1.822263002E-2,3.482484818E-2,2.120971680E-2
3.895434950E-1,-1.271110773E-2,4.526007175E-2,2.801418304E-2
3.945628700E-1,-1.550322771E-2,4.022765160E-2,3.591728210E-2
3.995822450E-1,-5.159556866E-3,3.640508652E-2,2.243518829E-2
4.046016200E-1,-1.628071070E-2,3.731012344E-2,9.123802185E-3
4.096209950E-1,-1.882606745E-2,1.576805115E-2,-1.669883728E-3
4.146403700E-1,-1.228392124E-3,1.465857029E-2,-2.059459686E-2
4.196597450E-1,4.357755184E-3,1.760244370E-3,-2.746486664E-2
4.246791200E-1,1.509666443E-3,-9.774327278E-3,-4.607105255E-2
4.296984950E-1,2.945810556E-2,-3.055572510E-2,-4.552078247E-2
4.347178700E-1,1.797699928E-2,-3.334653378E-2,-4.142856598E-2
4.397372450E-1,1.958340406E-2,-4.795384407E-2,-3.146934509E-2
4.447566200E-1,1.154816151E-2,-4.580485821E-2,-1.332473755E-2
4.497759950E-1,1.417070627E-2,-5.907046795E-2,4.621505737E-3
4.547953700E-1,1.676863432E-2,-5.562853813E-2,8.161544800E-3
4.598147450E-1,7.348954678E-3,-6.044888496E-2,1.169109344E-2
4.648341200E-1,-4.422128201E-3,-6.645810604E-2,9.262084961E-3
4.698534950E-1,-2.444386482E-2,-5.221080780E-2,9.251594543E-3
4.748728700E-1,-3.129845858E-2,-4.165434837E-2,1.280689240E-2
4.798922450E-1,-3.586906195E-2,-2.534484863E-2,8.039474487E-3
4.849116200E-1,-5.110245943E-2,-1.266586781E-2,2.466773987E-2
4.899309950E-1,-4.019486904E-2,-2.539038658E-3,2.809238434E-2
4.949503700E-1,-3.062981367E-2,-2.028226852E-3,2.081966400E-2
4.999697450E-1,-3.777408600E-2,3.123998642E-3,5.389404297E-2
