"Time (s)","w","x","y","z"
7.806917100E-2,2.810629239E-2,7.879479229E-2,5.876574293E-2,-9.947602749E-1
8.790937900E-2,1.316946266E-2,7.147604972E-2,3.341080621E-2,-9.967955947E-1
9.797932700E-2,2.360286513E-2,-5.774970725E-2,-2.381446073E-3,9.980491996E-1
1.079768790E-1,2.542783711E-3,-6.495286524E-2,1.106227655E-2,9.978237748E-1
1.180375560E-1,6.740246392E-2,8.084575832E-2,-5.068154540E-3,-9.944320917E-1
1.280800040E-1,1.356175946E-1,1.045975089E-1,8.011584170E-3,-9.851918817E-1
1.381240670E-1,1.794219544E-1,1.233566254E-1,1.805151999E-2,-9.758406878E-1
1.481514630E-1,1.440704367E-1,1.113405302E-1,1.417964976E-2,-9.831815362E-1
1.584277650E-1,1.130730357E-1,9.680792689E-2,1.505978778E-2,-9.887446165E-1
1.684765670E-1,1.328973978E-1,1.035999879E-1,1.840131357E-2,-9.855286479E-1
1.784414100E-1,9.930223620E-2,8.764895797E-2,8.832121268E-3,-9.911502004E-1
1.883876080E-1,8.972402512E-2,8.620510995E-2,2.178918570E-2,-9.919896722E-1
1.983450560E-1,4.717325446E-2,7.381302863E-2,2.437390573E-2,-9.958575368E-1
2.083719310E-1,9.579368291E-4,-5.673345923E-2,-2.522522397E-2,9.980701804E-1
2.184258900E-1,3.247909761E-2,-3.719088063E-2,-2.533234842E-2,9.984589219E-1
2.284641710E-1,6.237690189E-2,-2.653031796E-2,-2.215416357E-2,9.974539876E-1
2.385752650E-1,6.414247308E-2,-2.312543802E-2,-2.240305766E-2,9.974212050E-1
2.485866710E-1,6.616183927E-2,-2.191002108E-2,-2.213140391E-2,9.973227978E-1
2.588961500E-1,6.825771399E-2,-2.081998810E-2,-2.385060675E-2,9.971652627E-1
2.689255770E-1,7.061609618E-2,-2.313617617E-2,-2.689486183E-2,9.968724847E-1
2.789809940E-1,7.300950780E-2,-2.452812903E-2,-2.633837238E-2,9.966816306E-1
2.890284940E-1,7.555892421E-2,-2.662069164E-2,-2.623169683E-2,9.964407086E-1
2.990378170E-1,7.810156920E-2,-2.915330417E-2,-2.659602463E-2,9.961640835E-1
3.090770880E-1,8.065584904E-2,-3.149109706E-2,-2.701176144E-2,9.958781600E-1
3.192107330E-1,8.329269407E-2,-3.320484608E-2,-2.682878450E-2,9.956103563E-1
3.292032850E-1,8.602554518E-2,-3.438928723E-2,-2.595228143E-2,9.953609705E-1
3.392729210E-1,8.885617619E-2,-3.550070152E-2,-2.484953217E-2,9.951013923E-1
3.492944310E-1,9.159715581E-2,-3.658155352E-2,-2.411552146E-2,9.948317409E-1
3.593089630E-1,9.405935328E-2,-3.707396984E-2,-2.410840616E-2,9.945839047E-1
3.693726080E-1,9.614226797E-2,-3.662431613E-2,-2.502467111E-2,9.943787456E-1
3.793829210E-1,9.783115012E-2,-3.539539501E-2,-2.688305080E-2,9.942100048E-1
3.894149520E-1,9.916668037E-2,-3.364129364E-2,-2.940494008E-2,9.940671921E-1
