"Time (s)","w","x","y","z"
7.653636300E-2,5.301494075E-1,-2.414376102E-2,-1.175390370E-2,8.474789262E-1
8.634568600E-2,5.210147572E-1,-2.584388293E-2,-2.207444049E-2,8.528707027E-1
9.660172800E-2,5.029700401E-1,-2.576244995E-2,-3.125454858E-2,8.633542657E-1
1.064311030E-1,5.021077830E-1,-2.198015898E-2,-3.930508718E-2,8.636317253E-1
1.164649570E-1,5.131276268E-1,-1.662213914E-2,-4.038740322E-2,8.572004437E-1
1.265067280E-1,5.186930379E-1,-1.266515907E-2,-3.896446899E-2,8.539782763E-1
1.365420400E-1,5.319779378E-1,-7.733083796E-3,-3.594330326E-2,8.459596634E-1
1.465659980E-1,5.377203138E-1,-3.488343675E-3,-3.446929529E-2,8.424111605E-1
1.566224570E-1,5.405817945E-1,1.636433532E-3,-3.758273274E-2,8.404499888E-1
1.668557900E-1,5.298822945E-1,-1.222840883E-2,-3.016538732E-2,8.474463224E-1
1.769377690E-1,5.236387231E-1,-1.555360109E-2,-2.912859991E-2,8.513002396E-1
1.869345400E-1,5.218903726E-1,-1.768084615E-2,-2.803232335E-2,8.523684740E-1
1.970159980E-1,5.242467436E-1,-1.096583530E-2,-3.624790162E-2,8.507239223E-1
2.070799570E-1,5.221405085E-1,-7.114751730E-3,-4.561239481E-2,8.516091704E-1
2.170517800E-1,5.133938593E-1,-1.156632416E-2,-4.067622870E-2,8.571105003E-1
2.271238110E-1,5.171590038E-1,-1.263969392E-2,-3.350273520E-2,8.551399708E-1
2.371909460E-1,5.172955006E-1,-1.226382330E-2,-3.429155052E-2,8.550316095E-1
2.472487070E-1,5.171605615E-1,-1.213914156E-2,-3.518835455E-2,8.550785780E-1
2.572926130E-1,5.167329554E-1,-1.240819041E-2,-3.598588333E-2,8.553000093E-1
2.673126650E-1,5.159538990E-1,-1.320230868E-2,-3.653316572E-2,8.557351232E-1
2.773781340E-1,5.147877932E-1,-1.448178012E-2,-3.682091087E-2,8.564041257E-1
2.873950090E-1,5.132631929E-1,-1.583907567E-2,-3.699910268E-2,8.572870493E-1
2.974330820E-1,5.114594005E-1,-1.693040505E-2,-3.717254102E-2,8.583360910E-1
3.074587590E-1,5.095314381E-1,-1.773926616E-2,-3.721958026E-2,8.594636321E-1
3.154628730E-1,5.076399435E-1,-1.806681603E-2,-3.713265061E-2,8.605791330E-1
3.250895400E-1,5.058888869E-1,-1.784639060E-2,-3.692640737E-2,8.616231084E-1
3.351428730E-1,5.043880287E-1,-1.718440652E-2,-3.657143936E-2,8.625311255E-1
3.451833940E-1,5.032355814E-1,-1.616321690E-2,-3.608733416E-2,8.632441163E-1
3.552363110E-1,5.024977998E-1,-1.488718763E-2,-3.549842909E-2,8.637211323E-1
3.652851650E-1,5.022011657E-1,-1.340963878E-2,-3.489889205E-2,8.639422655E-1
3.753254260E-1,5.023182722E-1,-1.193257328E-2,-3.428143635E-2,8.639205694E-1
3.853471960E-1,5.027589668E-1,-1.066956017E-2,-3.360008821E-2,8.637074828E-1
3.954350610E-1,5.034022954E-1,-9.721252136E-3,-3.282037750E-2,8.633738756E-1
4.054893320E-1,5.040692296E-1,-9.001657367E-3,-3.202086315E-2,8.630225062E-1
4.154628730E-1,5.045753964E-1,-8.431506343E-3,-3.133140504E-2,8.627577424E-1
4.255869360E-1,5.047681128E-1,-8.009263314E-3,-3.082194738E-2,8.626673818E-1
4.355825610E-1,5.045496946E-1,-7.761928253E-3,-3.056974150E-2,8.628063798E-1
4.456574050E-1,5.038872087E-1,-7.680432405E-3,-3.062542342E-2,8.631922007E-1
4.556416230E-1,5.028353563E-1,-7.748938631E-3,-3.096620180E-2,8.637925982E-1
4.656439150E-1,5.014110702E-1,-7.772082929E-3,-3.160592169E-2,8.645967841E-1
4.758552690E-1,4.997155321E-1,-7.594096009E-3,-3.253475204E-2,8.655450344E-1
4.857811550E-1,4.978701406E-1,-7.219157182E-3,-3.363943845E-2,8.665688634E-1
4.958272480E-1,4.959606043E-1,-6.728188135E-3,-3.485559672E-2,8.676190972E-1
5.058964670E-1,4.941038994E-1,-6.240165327E-3,-3.605961055E-2,8.686323166E-1
5.159538630E-1,4.923591563E-1,-5.814073142E-3,-3.730228543E-2,8.695729971E-1
5.260439670E-1,4.907785387E-1,-5.486711860E-3,-3.848626465E-2,8.704166412E-1
5.360560510E-1,4.893463206E-1,-5.247957539E-3,-3.957197815E-2,8.711754680E-1
