"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.089917600E-2,1.978448331E-1,1.842958033E-1,-2.784080505E-1
7.599917600E-2,2.164609730E-1,9.209704399E-2,-2.930660248E-1
8.109917600E-2,1.883452237E-1,-8.494794369E-3,-2.672071457E-1
8.619917600E-2,1.922812760E-1,-7.458835840E-2,-2.410125732E-1
9.129917600E-2,2.003906518E-1,-1.338480115E-1,-2.298126221E-1
9.639917600E-2,2.280575931E-1,-1.704429388E-1,-2.167491913E-1
1.014991760E-1,2.788659334E-1,-1.881194115E-1,-2.458248138E-1
1.065991760E-1,3.042240143E-1,-1.743845344E-1,-3.047122955E-1
1.116985510E-1,3.143379688E-1,-1.374759078E-1,-3.307638168E-1
1.167375610E-1,3.132371008E-1,-9.297126532E-2,-3.597850800E-1
1.217565190E-1,2.849951982E-1,-4.221135378E-2,-3.677082062E-1
1.267754780E-1,2.751362026E-1,1.353490353E-2,-3.428220749E-1
1.317944360E-1,2.831291854E-1,5.499851704E-2,-3.723526001E-1
1.368133940E-1,2.882051766E-1,1.091250181E-1,-3.863792419E-1
1.418323530E-1,2.553724349E-1,1.137416959E-1,-4.130973816E-1
1.468513110E-1,2.082738578E-1,1.191171408E-1,-4.221134186E-1
1.518702690E-1,2.927770913E-1,1.033139825E-1,-3.932714462E-1
1.568892280E-1,1.230917722E-1,8.214038610E-2,-3.011798859E-1
1.619081860E-1,-3.063801676E-2,5.920344591E-2,-3.293981552E-1
1.669271440E-1,-9.055206925E-2,3.594046831E-2,-4.150009155E-1
1.719461030E-1,-1.254537553E-1,3.564149141E-2,-4.345693588E-1
1.769650610E-1,-1.708547324E-1,3.204703331E-2,-3.854637146E-1
1.819840190E-1,-1.831688434E-1,2.284598351E-2,-3.683395386E-1
1.870029780E-1,-1.124796048E-1,4.635751247E-3,-3.775777817E-1
1.920219360E-1,1.343552768E-2,-5.484026670E-2,-4.461832047E-1
1.970408940E-1,6.221917272E-2,-9.969103336E-2,-5.679750443E-1
2.020598530E-1,1.242118180E-1,-1.453023553E-1,-6.636180878E-1
2.070788110E-1,1.941572130E-1,-1.986523867E-1,-7.712087631E-1
2.120977690E-1,-5.272957683E-2,-7.577884197E-2,-1.184679031E0
2.171167280E-1,-1.225644946E-1,5.200445652E-3,-1.426393509E0
2.221356860E-1,-1.715413332E-1,6.989169121E-2,-1.462109566E0
2.271546440E-1,-1.647727638E-1,9.521573782E-2,-1.417040825E0
2.321736030E-1,-1.788528264E-1,1.368499994E-1,-1.311653137E0
2.371925610E-1,-1.978917122E-1,1.589589119E-1,-1.211553574E0
2.422115190E-1,-1.918407679E-1,1.888125539E-1,-1.015813828E0
2.472304780E-1,-2.730802596E-1,2.094591856E-1,-8.270645142E-1
2.522494360E-1,-3.549253941E-1,2.548952401E-1,-6.567211151E-1
2.572683940E-1,-4.170181155E-1,2.799283862E-1,-5.441360474E-1
2.622873530E-1,-5.319938660E-1,3.036220074E-1,-4.657793045E-1
2.673063110E-1,-5.899822116E-1,2.919600606E-1,-4.326229095E-1
2.723252690E-1,-5.917769670E-1,2.406639159E-1,-3.509931564E-1
2.773442280E-1,-5.854507685E-1,1.609227657E-1,-2.534189224E-1
2.823631860E-1,-5.362789631E-1,5.167281628E-2,-1.330595016E-1
2.873821440E-1,-3.801940978E-1,-2.328181267E-2,-2.197265625E-2
2.924011030E-1,-2.201577127E-1,-1.156505942E-1,1.752643585E-1
2.974200610E-1,-1.145157740E-1,-1.548719406E-1,3.290376663E-1
3.024390190E-1,-1.894149184E-2,-2.256989479E-1,3.954572678E-1
3.074579780E-1,7.693522424E-2,-2.878670692E-1,4.089660645E-1
3.124808940E-1,1.703170538E-1,-3.180449009E-1,3.798637390E-1
3.174981860E-1,2.515934110E-1,-3.427922726E-1,3.888826370E-1
3.225154780E-1,3.344621062E-1,-3.810353875E-1,4.377632141E-1
3.275327690E-1,3.872658312E-1,-4.348317385E-1,5.070505142E-1
3.325501130E-1,4.235812128E-1,-4.743400812E-1,5.222330093E-1
3.375676650E-1,4.485520124E-1,-4.702059031E-1,5.183410645E-1
3.425854260E-1,4.591160119E-1,-4.499648213E-1,4.956779480E-1
3.476033940E-1,4.863694310E-1,-4.018796682E-1,4.533491135E-1
