"Time (s)","w","x","y","z"
2.254897100E-2,3.280321646E-1,9.138400108E-2,9.086840153E-1,2.415309995E-1
3.261197100E-2,3.278219431E-1,8.577100188E-2,9.081599712E-1,2.458080053E-1
4.267097100E-2,3.298603780E-1,7.562900335E-2,9.077680111E-1,2.478500009E-1
5.273097100E-2,3.321906925E-1,6.915199757E-2,9.074620008E-1,2.477499992E-1
6.279063700E-2,3.349789181E-1,6.994900107E-2,9.067310095E-1,2.464450002E-1
7.285063700E-2,3.322536894E-1,7.507800311E-2,9.096540213E-1,2.376980036E-1
8.381897100E-2,3.302211434E-1,8.875499666E-2,9.130830169E-1,2.221619934E-1
9.387797100E-2,3.306846594E-1,8.569499850E-2,9.154890180E-1,2.125650048E-1
1.039359710E-1,3.338102925E-1,8.253899962E-2,9.161289930E-1,2.060720026E-1
1.139944710E-1,3.366832830E-1,8.130499721E-2,9.169089794E-1,1.982720047E-1
1.240538040E-1,3.375696462E-1,7.990200073E-2,9.179049730E-1,1.926469952E-1
1.341133040E-1,3.448265778E-1,7.891800255E-2,9.161049724E-1,1.887280047E-1
1.441727040E-1,3.547538701E-1,6.740099937E-2,9.132260084E-1,1.887460053E-1
1.542315370E-1,3.629446773E-1,5.133099854E-2,9.103549719E-1,1.920679957E-1
1.642902510E-1,3.649901872E-1,4.128399864E-2,9.085770249E-1,1.989109963E-1
1.743491260E-1,3.685764505E-1,5.083699897E-2,9.063090086E-1,2.004269958E-1
1.844085700E-1,3.705779385E-1,5.754400045E-2,9.044430256E-1,2.033309937E-1
1.944684700E-1,3.688309279E-1,6.769599766E-2,9.034860134E-1,2.075909972E-1
2.045285600E-1,3.717846636E-1,9.592399746E-2,9.001479745E-1,2.056899965E-1
2.146068100E-1,3.718965563E-1,1.026019976E-1,8.979910016E-1,2.116079926E-1
2.246853480E-1,3.765321695E-1,1.204990000E-1,8.941230178E-1,2.103510052E-1
2.347628480E-1,3.833461319E-1,1.369500011E-1,8.903869987E-1,2.037190050E-1
2.448795140E-1,3.853795916E-1,1.383479983E-1,8.916839957E-1,1.929820031E-1
