"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.254897100E-2,-2.420854568E-2,1.906132698E-1,3.147792816E-1
3.261197100E-2,-4.021630287E-1,-2.778778076E-1,4.274368286E-1
4.267097100E-2,-2.147741318E-1,-4.752144814E-1,4.627733231E-1
5.273097100E-2,-1.676988602E-2,-3.350415230E-1,4.430632591E-1
6.279063700E-2,-1.200613976E-1,-3.867321014E-1,-1.192070007E0
7.285063700E-2,-4.391322136E-1,-4.971466064E-1,-1.985538483E0
8.381897100E-2,-9.998774529E-1,-6.580758095E-1,-1.285096645E0
9.387797100E-2,-8.746910095E-1,-6.040904522E-1,-4.718627930E-1
1.039359710E-1,-8.912591934E-1,-6.326987743E-1,-6.388511658E-1
1.139944710E-1,-7.691936493E-1,-3.268806934E-1,-8.302526474E-1
1.240538040E-1,-1.120237350E0,-2.982256413E-1,1.348934174E-1
1.341133040E-1,-1.257734776E0,-5.393669605E-1,9.744815826E-1
1.441727040E-1,-1.047214508E0,-4.475052357E-1,1.067978859E0
1.542315370E-1,-2.973690033E-1,2.538089752E-1,5.974702835E-1
1.642902510E-1,8.197689056E-2,4.957296848E-1,5.469155312E-1
1.743491260E-1,2.774333954E-1,4.631295204E-1,5.600576401E-1
1.844085700E-1,8.228759766E-1,7.177600861E-1,3.476333618E-1
1.944684700E-1,9.255685806E-1,7.473020554E-1,5.780558586E-1
2.045285600E-1,7.656035423E-1,5.846972466E-1,7.564601898E-1
2.146068100E-1,4.041285515E-1,4.234905243E-1,6.513252258E-1
2.246853480E-1,-1.647410393E-1,-1.540184021E-2,3.853864670E-1
2.347628480E-1,-8.775849342E-1,-8.212306499E-1,-7.540636063E-1
2.448795140E-1,-1.311494350E0,-9.252104759E-1,-5.096459389E-1
2.549927640E-1,-1.694586754E0,-1.063190222E0,1.028365612E0
2.651029400E-1,-2.076859474E0,-8.907287121E-1,2.955538750E0
2.752106060E-1,-9.357547760E-1,-5.005433559E-1,3.142726421E0
2.853156060E-1,-5.516076088E-1,-8.745033741E-1,4.303209305E0
2.954183060E-1,1.144600391E0,7.124137878E-2,2.577349901E0
3.055191150E-1,1.773427486E0,5.957889557E-1,1.531051159E0
3.156183420E-1,1.299717426E0,9.398179054E-1,1.404857159E0
3.257504280E-1,1.065892220E0,8.450927734E-1,-3.477387428E-1
3.358796780E-1,1.265379906E0,1.414432526E-1,-1.546916485E0
3.460062780E-1,1.068480492E0,-1.022705793E0,-1.890715122E0
3.561305850E-1,-5.849027634E-1,-1.684396744E0,-2.375577450E0
3.662526590E-1,-1.860157013E0,-1.813068867E0,-9.285171032E-1
3.763726230E-1,-1.352087975E0,-1.140176773E0,2.147770166E0
3.864906230E-1,-1.280857086E0,-8.195331097E-1,3.838842869E0
3.966067230E-1,-7.016563416E-1,-7.247276306E-1,2.721806288E0
4.067226560E-1,-1.750612259E-1,-1.329118967E0,1.159752727E0
4.168385220E-1,1.956558228E-1,-1.944435000E0,7.399106026E-2
4.269541880E-1,8.370289803E-1,-2.251546144E0,8.609985113E-1
4.370699540E-1,7.835369110E-1,-2.394042492E0,8.302209973E-1
4.471857870E-1,6.278028488E-1,-2.730318785E0,3.927145004E-1
4.573017200E-1,3.934535980E-1,-3.040225744E0,4.228869677E-1
4.674176860E-1,-7.789611816E-3,-2.948408604E0,1.891685247E0
4.775337860E-1,-2.303652763E0,-1.825935841E-1,3.734038830E0
4.876672190E-1,-2.806787491E0,1.986944914E0,2.306364536E0
4.978005850E-1,-1.211493492E0,1.771544933E0,2.084752798E0
5.079339180E-1,1.835022926E0,9.072866440E-1,1.039443016E0
5.180600510E-1,4.092832565E0,3.148493767E-1,7.348936200E-1
5.281855170E-1,4.505256653E0,4.208834171E-1,7.757136822E-1
5.383109830E-1,4.229592323E0,3.014497757E-1,-2.590332031E-1
5.484162830E-1,3.424947262E0,1.084310055E0,3.809357882E-1
5.585217490E-1,3.481507301E0,1.825212955E0,5.875719786E-1
5.686543150E-1,3.620165348E0,2.423290253E0,7.609084249E-1
5.787867150E-1,2.864674568E0,2.135461330E0,9.740040302E-1
5.889191810E-1,2.196373463E0,1.777087450E0,-7.214771509E-1
5.990517470E-1,2.735403061E0,6.708986759E-1,-2.384122372E0
6.091842130E-1,4.217162132E0,2.646317482E-1,-1.660651207E0
6.193164790E-1,5.424491882E0,3.522491455E-1,-1.461418748E0
6.294223450E-1,6.002077103E0,-4.033045769E-1,-1.621373773E0
6.395282450E-1,6.018187523E0,-9.691879749E-1,-2.401612282E0
6.496341110E-1,6.314523697E0,-3.408868313E-1,-3.619247437E0
6.597398770E-1,4.479877472E0,-6.547086239E-1,-3.345474243E0
6.698455100E-1,1.220234871E0,-1.059845924E0,-2.268785954E0
6.799510760E-1,4.657669067E-1,-5.614936352E-1,-5.106587410E-1
6.900566760E-1,2.068016529E0,4.129467010E-1,1.176308870E0
7.001622420E-1,5.655866623E0,2.473942518E0,-3.904199600E-1
7.102681750E-1,4.339224815E0,2.873338223E0,5.353112221E-1
7.203744750E-1,3.278335571E0,1.897369623E0,1.826028824E-1
7.304982410E-1,2.184817791E0,5.138776302E-1,-1.508235931E-2
7.406220740E-1,1.576454163E0,-3.124337196E-1,2.376022339E-1
7.507460400E-1,6.765275002E-1,-1.794743538E-1,5.146970749E-1
