"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.974988500E-2,3.967092276E0,5.656045914E0,-1.671732521E1
2.981688500E-2,4.261160374E0,5.684249878E0,-1.715901566E1
4.058888500E-2,3.556846619E0,5.156953812E0,-1.820401764E1
5.100788500E-2,3.147021532E0,4.840348244E0,-1.973979568E1
6.130821800E-2,3.532539845E0,4.779386520E0,-1.969347382E1
7.154921800E-2,4.678430080E0,4.804094791E0,-1.753541756E1
8.175501800E-2,5.341161728E0,4.946414948E0,-1.856240273E1
9.193718400E-2,5.925694942E0,5.454962254E0,-1.757184219E1
1.021028980E-1,6.066975117E0,5.691928864E0,-1.634488869E1
1.122561480E-1,4.178775311E0,5.164416313E0,-1.401000309E1
1.224879250E-1,4.534000874E0,5.320212364E0,-1.546199226E1
1.327028250E-1,5.384743214E0,5.735088348E0,-1.658585930E1
1.429039150E-1,6.673073769E0,5.650107384E0,-1.743797684E1
1.530935810E-1,7.709538937E0,4.816917896E0,-1.720620537E1
1.632736570E-1,7.398823738E0,4.617896557E0,-1.748002243E1
1.734454420E-1,7.075080872E0,4.812524796E0,-1.812017822E1
1.836099750E-1,6.431071281E0,4.471432686E0,-1.739547729E1
1.937682870E-1,5.563090324E0,4.797299862E0,-1.592335129E1
2.039208750E-1,6.360788345E0,6.090861320E0,-1.534576511E1
2.140688190E-1,7.636583328E0,6.265813828E0,-1.447797585E1
2.242124500E-1,8.180604935E0,5.974600315E0,-1.359403801E1
2.343522500E-1,8.458864212E0,5.581377983E0,-1.298512936E1
2.444885830E-1,7.465580940E0,4.708158016E0,-1.207470226E1
2.546217640E-1,5.783530235E0,3.987448215E0,-1.103216362E1
2.647518940E-1,4.263101578E0,3.242988586E0,-1.025813198E1
2.748791850E-1,4.462773800E0,2.021039009E0,-1.001357651E1
2.850284250E-1,6.318565369E0,7.289108038E-1,-9.048960686E0
2.951745010E-1,8.446993828E0,1.554491520E0,-7.553504467E0
3.053176120E-1,1.070254898E1,3.186284542E0,-6.739767075E0
3.154578620E-1,1.347843742E1,2.761517763E0,-4.626338959E0
3.255954480E-1,1.465129662E1,1.327263236E0,-3.290568829E0
3.357305140E-1,1.464338875E1,-8.395642042E-1,-2.542710781E0
3.458419140E-1,1.439297295E1,-2.312902689E0,-1.107466459E0
3.559531470E-1,1.476506996E1,-3.628099680E0,1.972441196E0
3.649528850E-1,1.419052887E1,-7.911520004E0,1.613872290E0
3.750148850E-1,1.182820511E1,-9.352145195E0,5.102986336E0
3.850908850E-1,1.373911190E1,-7.702654839E0,6.057571411E0
3.951618850E-1,1.848657990E1,-4.642068863E0,7.522913456E0
4.052312180E-1,2.462522125E1,-1.263109326E0,1.035991192E1
4.152992180E-1,2.863161469E1,-7.429563999E-1,1.415745258E1
4.253664180E-1,3.006164932E1,-6.255595684E-1,1.701962852E1
4.354334180E-1,2.869236755E1,3.476297855E-1,1.878310204E1
4.454998460E-1,2.437848282E1,1.298655272E0,2.040713120E1
4.555659710E-1,1.857324219E1,-1.833157539E-1,2.103765488E1
4.656316370E-1,1.289419365E1,-2.962362528E0,2.086021423E1
4.756973370E-1,7.554072380E0,-6.084746838E0,2.008708000E1
4.857629730E-1,5.350557327E0,-7.328813553E0,2.079690552E1
4.958285560E-1,8.876985550E0,-3.746776104E0,2.375098801E1
5.058944020E-1,1.201171112E1,-4.653720856E-1,2.043395042E1
