"Time (s)","w","x","y","z"
2.376343200E-2,1.961662808E-1,-1.964100078E-2,-1.764129996E-1,9.643710256E-1
3.381143200E-2,2.076565102E-1,-2.207400091E-2,-1.768949926E-1,9.618210196E-1
4.385943200E-2,1.862791767E-1,-1.866899990E-2,-1.782480031E-1,9.660120010E-1
5.390843200E-2,1.701817394E-1,-1.627900079E-2,-1.793240011E-1,9.688220024E-1
6.395776500E-2,1.684674728E-1,-1.676799916E-2,-1.794279963E-1,9.690939784E-1
7.400751500E-2,1.655884748E-1,-1.623700000E-2,-1.794230044E-1,9.696000218E-1
8.495343200E-2,1.836278124E-1,-1.988199912E-2,-1.798309982E-1,9.662020206E-1
9.500343200E-2,2.081818064E-1,-2.432899922E-2,-1.796510071E-1,9.611420035E-1
1.050514320E-1,2.147076560E-1,-2.553099953E-2,-1.793839931E-1,9.597240090E-1
1.150989320E-1,2.077006857E-1,-2.422799915E-2,-1.795099974E-1,9.612749815E-1
1.251462650E-1,2.068246627E-1,-2.449600026E-2,-1.791670024E-1,9.615210295E-1
1.351945150E-1,2.067325880E-1,-2.490100078E-2,-1.795500070E-1,9.614589810E-1
1.452429150E-1,1.935441330E-1,-2.245300077E-2,-1.798640043E-1,9.642019868E-1
1.552919150E-1,2.213063354E-1,-2.764300071E-2,-1.790969968E-1,9.582189918E-1
1.662169150E-1,2.390829813E-1,-3.145699948E-2,-1.788399965E-1,9.538689852E-1
1.762744320E-1,2.420938085E-1,-3.256599978E-2,-1.790159941E-1,9.530389905E-1
1.863264320E-1,2.578174328E-1,-3.552500159E-2,-1.782349944E-1,9.489470124E-1
1.963784320E-1,2.494906199E-1,-3.398000076E-2,-1.788669974E-1,9.511079788E-1
2.064304320E-1,2.342326513E-1,-3.104300052E-2,-1.793259978E-1,9.549940228E-1
2.164817650E-1,2.433689411E-1,-3.299500048E-2,-1.785279959E-1,9.527909756E-1
2.265325150E-1,2.449487404E-1,-3.311000019E-2,-1.783789992E-1,9.524099827E-1
2.365827150E-1,2.422171102E-1,-3.241400048E-2,-1.777379960E-1,9.532520175E-1
2.467650480E-1,2.515660492E-1,-3.399400041E-2,-1.771399975E-1,9.508839846E-1
2.569283330E-1,2.519885806E-1,-3.299900144E-2,-1.767970026E-1,9.508709908E-1
2.670777080E-1,2.588660391E-1,-3.390600160E-2,-1.759510040E-1,9.491469860E-1
2.772159300E-1,2.617052613E-1,-3.450300172E-2,-1.757490039E-1,9.483839869E-1
2.873451300E-1,2.642878460E-1,-3.547000140E-2,-1.754080057E-1,9.476950169E-1
2.974670390E-1,2.567560063E-1,-3.477500007E-2,-1.758349985E-1,9.497100115E-1
3.075831220E-1,2.433858834E-1,-3.232999891E-2,-1.762849987E-1,9.532269835E-1
