"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.376343200E-2,-1.993161440E-2,-1.071457863E-1,-4.230499268E-3
3.381143200E-2,-4.546251893E-2,-1.045124531E-1,-9.466838837E-2
4.385943200E-2,-5.809098482E-2,-4.293632507E-2,-1.957044601E-1
5.390843200E-2,-9.289126098E-2,-4.569101334E-2,5.680656433E-2
6.395776500E-2,-2.992716432E-2,-2.732586861E-2,1.464414597E-1
7.400751500E-2,3.790318966E-3,-3.549218178E-2,-2.202510834E-1
8.495343200E-2,2.360945940E-2,-2.803063393E-2,-5.916976929E-2
9.500343200E-2,-3.548577428E-2,2.634763718E-2,-3.264141083E-2
1.050514320E-1,-2.581965923E-2,4.604721069E-2,-4.531764984E-2
1.150989320E-1,-2.547347546E-2,4.266953468E-2,-5.767250061E-2
1.251462650E-1,-3.976882994E-2,-1.732850075E-2,-1.268672943E-1
1.351945150E-1,-7.047832012E-3,-3.027462959E-2,-1.125240326E-2
1.452429150E-1,-9.149998426E-3,-4.956364632E-2,1.083965302E-1
1.552919150E-1,-3.519554436E-2,-4.554271698E-2,4.105854034E-2
1.662169150E-1,-5.376179516E-2,-4.289913177E-2,-1.857376099E-2
1.762744320E-1,-4.015643895E-2,-3.060817719E-2,7.742881775E-2
1.863264320E-1,1.371945441E-2,-5.775928497E-3,-3.901386261E-2
1.963784320E-1,4.394948483E-4,2.893853188E-2,4.007339478E-3
2.064304320E-1,-3.647990525E-2,3.469014168E-2,1.545715332E-2
2.164817650E-1,-2.486504614E-2,2.930068970E-2,2.188491821E-2
2.265325150E-1,2.727621794E-2,4.351973534E-2,6.408691406E-2
2.365827150E-1,6.092900038E-2,6.052565575E-2,1.255035400E-3
2.467650480E-1,7.601998746E-2,6.443214417E-2,-5.638122559E-3
2.569283330E-1,1.697888970E-2,8.926773071E-2,-1.411437988E-2
2.670777080E-1,1.218736172E-3,5.265569687E-2,-1.877784729E-2
2.772159300E-1,-8.314266801E-2,-1.581859589E-2,1.893711090E-2
2.873451300E-1,-7.276749611E-2,-4.650235176E-2,-1.237869263E-3
2.974670390E-1,-4.139211774E-2,-2.120327950E-2,-4.042625427E-3
3.075831220E-1,3.826832771E-2,9.672403336E-3,-1.758575439E-3
3.176941980E-1,4.158771038E-2,4.355907440E-3,2.914428711E-2
3.278576980E-1,5.043956637E-2,-7.066726685E-4,7.763862610E-3
3.380136310E-1,2.951557934E-2,-2.852368355E-2,2.394962311E-2
3.481629430E-1,-3.078056872E-2,-3.428721428E-2,1.781463623E-3
3.583062950E-1,-5.436383188E-2,-4.256987572E-2,-1.540088654E-2
3.684444610E-1,-6.177498400E-2,-2.966594696E-2,-2.852439880E-2
3.785778290E-1,-1.827083528E-2,-9.166479111E-3,-1.928806305E-2
3.887070290E-1,1.145035028E-3,-2.269434929E-2,-1.748752594E-2
3.988323140E-1,3.472620249E-2,-7.160902023E-3,5.989074707E-3
4.089902230E-1,5.545546114E-2,1.937127113E-2,1.604461670E-2
4.191433530E-1,1.733303070E-2,2.317929268E-2,6.092071533E-3
4.292920190E-1,-2.360890806E-2,-8.107900620E-3,-2.700805664E-3
4.394364990E-1,-3.560838103E-2,2.147340775E-2,-3.284454346E-3
4.495771140E-1,-3.579089046E-2,2.743434906E-2,7.766246796E-2
4.597141880E-1,-2.751760185E-2,1.300787926E-2,3.149032593E-2
4.698480090E-1,-2.506089211E-2,4.489421844E-4,-1.422405243E-2
4.799788020E-1,-3.447170556E-2,-3.145503998E-2,-3.127956390E-2
4.909048020E-1,2.270360291E-2,7.447004318E-3,3.270530701E-2
5.010874320E-1,3.351880610E-2,1.258468628E-2,1.759815216E-2
5.111334320E-1,3.018948436E-2,3.643202782E-2,-1.923179626E-2
5.211814320E-1,2.707137167E-2,4.233741760E-2,1.226520538E-2
5.312264320E-1,3.249701858E-2,3.121948242E-2,2.124691010E-2
5.412707650E-1,8.989974856E-3,3.350353241E-2,5.881309509E-3
5.513160150E-1,-2.856178582E-2,1.505112648E-2,-4.348754883E-3
5.613606150E-1,-1.391433179E-2,1.111602783E-2,-2.537727356E-3
5.722944320E-1,-9.246587753E-3,3.380775452E-4,-2.692794800E-2
5.823414320E-1,-2.112895250E-3,-7.648706436E-3,-1.046657562E-2
5.923884320E-1,3.363853693E-2,-2.248239517E-2,-2.021503448E-2
6.024339320E-1,1.193004847E-2,-3.944087029E-2,1.562786102E-2
6.124805980E-1,1.155802608E-2,-4.663276672E-2,2.407264709E-2
6.225278480E-1,-1.715293527E-2,-3.474926949E-2,7.279396057E-3
6.325752480E-1,8.863210678E-4,-4.996585846E-2,-8.631706238E-3
